model,feature,importance,rank
LightGBM,sell_price,2801.0,1
LightGBM,item_id_code,2295.0,2
LightGBM,rolling_mean_56,1609.0,3
LightGBM,month,1490.0,4
LightGBM,rolling_std_56,1092.0,5
LightGBM,store_id_code,1074.0,6
LightGBM,rolling_mean_28,909.0,7
LightGBM,rolling_mean_7,701.0,8
LightGBM,rolling_std_28,671.0,9
LightGBM,wday,554.0,10
LightGBM,rolling_std_7,465.0,11
LightGBM,year,439.0,12
LightGBM,lag_28,338.0,13
LightGBM,dept_id_code,298.0,14
LightGBM,lag_56,281.0,15
LightGBM,event_name_1_code,276.0,16
LightGBM,lag_35,227.0,17
LightGBM,lag_42,207.0,18
LightGBM,snap,146.0,19
LightGBM,state_id_code,94.0,20
LightGBM,event_type_1_code,80.0,21
LightGBM,price_change_1,78.0,22
LightGBM,price_available,30.0,23
LightGBM,is_event,18.0,24
LightGBM,cat_id_code,18.0,25
XGBoost,rolling_mean_28,0.4912826418876648,1
XGBoost,rolling_mean_7,0.14866764843463898,2
XGBoost,price_available,0.0867789015173912,3
XGBoost,rolling_std_28,0.06558768451213837,4
XGBoost,rolling_mean_56,0.030314477160573006,5
XGBoost,rolling_std_56,0.0187502671033144,6
XGBoost,dept_id_code,0.017220186069607735,7
XGBoost,sell_price,0.01508687436580658,8
XGBoost,year,0.014236030168831348,9
XGBoost,item_id_code,0.012015004642307758,10
XGBoost,wday,0.011396116577088833,11
XGBoost,month,0.011370450258255005,12
XGBoost,price_change_1,0.009562678635120392,13
XGBoost,lag_28,0.00831799115985632,14
XGBoost,store_id_code,0.007036066614091396,15
XGBoost,cat_id_code,0.006922243628650904,16
XGBoost,state_id_code,0.006478701718151569,17
XGBoost,event_name_1_code,0.0064682322554290295,18
XGBoost,rolling_std_7,0.005384763237088919,19
XGBoost,event_type_1_code,0.00507701188325882,20
XGBoost,lag_35,0.004952642600983381,21
XGBoost,lag_56,0.004747775383293629,22
XGBoost,snap,0.004652419593185186,23
XGBoost,lag_42,0.004558518994599581,24
XGBoost,is_event,0.0031346846371889114,25
LightGBM Tuned,sell_price,20158.0,1
LightGBM Tuned,item_id_code,20047.0,2
LightGBM Tuned,rolling_mean_56,13423.0,3
LightGBM Tuned,rolling_std_56,12416.0,4
LightGBM Tuned,month,10849.0,5
LightGBM Tuned,store_id_code,9611.0,6
LightGBM Tuned,rolling_mean_28,9109.0,7
LightGBM Tuned,rolling_std_28,8703.0,8
LightGBM Tuned,rolling_std_7,7417.0,9
LightGBM Tuned,rolling_mean_7,6568.0,10
LightGBM Tuned,wday,4210.0,11
LightGBM Tuned,lag_28,3450.0,12
LightGBM Tuned,lag_56,3161.0,13
LightGBM Tuned,year,2984.0,14
LightGBM Tuned,lag_42,2831.0,15
LightGBM Tuned,lag_35,2691.0,16
LightGBM Tuned,dept_id_code,2229.0,17
LightGBM Tuned,event_name_1_code,1538.0,18
LightGBM Tuned,state_id_code,1178.0,19
LightGBM Tuned,snap,1097.0,20
LightGBM Tuned,event_type_1_code,515.0,21
LightGBM Tuned,price_change_1,415.0,22
LightGBM Tuned,cat_id_code,218.0,23
LightGBM Tuned,is_event,144.0,24
LightGBM Tuned,price_available,46.0,25
