split,id,item_id,dept_id,cat_id,store_id,state_id,date,d,d_num,sales,sell_price,seasonal_naive_28,random_forest_pred,xgboost_pred,lightgbm_pred,lightgbm_tuned_pred
Validation,FOODS_1_113_WI_2_validation,FOODS_1_113,FOODS_1,FOODS,WI_2,WI,2016-02-29,d_1858,1858,28,0.98,9.0,7.804511367617262,6.7496657,6.981408732157455,6.287056961514775
Validation,FOODS_1_113_WI_2_validation,FOODS_1_113,FOODS_1,FOODS,WI_2,WI,2016-03-01,d_1859,1859,20,0.98,3.0,8.148646662058876,6.6068716,6.812489072377761,6.020321637889052
Validation,FOODS_1_113_WI_2_validation,FOODS_1_113,FOODS_1,FOODS,WI_2,WI,2016-03-02,d_1860,1860,8,0.98,1.0,6.676213355848735,7.217012,7.790690150338418,7.362897119949857
Validation,FOODS_1_113_WI_2_validation,FOODS_1_113,FOODS_1,FOODS,WI_2,WI,2016-03-03,d_1861,1861,9,0.98,0.0,6.816154565312571,7.3590136,7.0668984886294695,7.6064705405087585
Validation,FOODS_1_113_WI_2_validation,FOODS_1_113,FOODS_1,FOODS,WI_2,WI,2016-03-04,d_1862,1862,19,0.98,9.0,7.050041816980121,7.257249,7.862314344340482,6.622655755911347
Validation,FOODS_1_113_WI_2_validation,FOODS_1_113,FOODS_1,FOODS,WI_2,WI,2016-03-05,d_1863,1863,22,0.98,5.0,8.236164040853042,9.25799,8.681639534822194,8.62814962961573
Validation,FOODS_1_113_WI_2_validation,FOODS_1_113,FOODS_1,FOODS,WI_2,WI,2016-03-06,d_1864,1864,24,0.98,6.0,9.480393067364975,9.620684,9.059625308229885,8.028960657636867
Validation,FOODS_1_113_WI_2_validation,FOODS_1_113,FOODS_1,FOODS,WI_2,WI,2016-03-07,d_1865,1865,22,0.98,3.0,6.442590317746792,6.24965,6.5554593725132015,6.143710716722258
Validation,FOODS_1_113_WI_2_validation,FOODS_1_113,FOODS_1,FOODS,WI_2,WI,2016-03-08,d_1866,1866,10,0.98,1.0,6.174958902341518,7.4588275,7.062621312779379,8.007652841769293
Validation,FOODS_1_113_WI_2_validation,FOODS_1_113,FOODS_1,FOODS,WI_2,WI,2016-03-09,d_1867,1867,5,0.98,5.0,6.858340501063276,7.095991,7.245747502287786,7.098693527826569
Validation,FOODS_1_113_WI_2_validation,FOODS_1_113,FOODS_1,FOODS,WI_2,WI,2016-03-10,d_1868,1868,7,0.98,7.0,7.13209213689524,5.761388,5.728088183191905,5.603622175446606
Validation,FOODS_1_113_WI_2_validation,FOODS_1_113,FOODS_1,FOODS,WI_2,WI,2016-03-11,d_1869,1869,31,0.98,12.0,7.5291227241058305,8.736479,8.896424518958709,8.651976445984248
Validation,FOODS_1_113_WI_2_validation,FOODS_1_113,FOODS_1,FOODS,WI_2,WI,2016-03-12,d_1870,1870,19,0.98,11.0,9.568009537725231,10.338966,9.921278540877424,10.017673299653875
Validation,FOODS_1_113_WI_2_validation,FOODS_1_113,FOODS_1,FOODS,WI_2,WI,2016-03-13,d_1871,1871,25,0.98,0.0,7.7451265507647635,6.94787,6.89120744827929,7.0313181941372
Validation,FOODS_1_113_WI_2_validation,FOODS_1_113,FOODS_1,FOODS,WI_2,WI,2016-03-14,d_1872,1872,16,0.98,1.0,7.763067903612305,6.15197,5.942355226599817,6.565211089308619
Validation,FOODS_1_113_WI_2_validation,FOODS_1_113,FOODS_1,FOODS,WI_2,WI,2016-03-15,d_1873,1873,6,0.98,0.0,7.025556598989579,6.2859135,5.873213930956375,7.204457898973372
Validation,FOODS_1_113_WI_2_validation,FOODS_1_113,FOODS_1,FOODS,WI_2,WI,2016-03-16,d_1874,1874,2,0.98,8.0,6.934954499589142,5.4865255,5.351723604049727,5.345042256415095
Validation,FOODS_1_113_WI_2_validation,FOODS_1_113,FOODS_1,FOODS,WI_2,WI,2016-03-17,d_1875,1875,5,0.98,12.0,6.927289038843547,4.667675,4.599541933926144,4.806813694017925
Validation,FOODS_1_113_WI_2_validation,FOODS_1_113,FOODS_1,FOODS,WI_2,WI,2016-03-18,d_1876,1876,22,0.98,11.0,7.1874736669419645,7.1710076,6.712415394326115,6.806948588903507
Validation,FOODS_1_113_WI_2_validation,FOODS_1_113,FOODS_1,FOODS,WI_2,WI,2016-03-19,d_1877,1877,23,0.98,10.0,7.704687434146739,7.98183,8.128824564482537,7.520587263848474
Validation,FOODS_1_113_WI_2_validation,FOODS_1_113,FOODS_1,FOODS,WI_2,WI,2016-03-20,d_1878,1878,20,0.98,14.0,8.615814413615245,9.194404,8.076150654409489,8.597406126729984
Validation,FOODS_1_113_WI_2_validation,FOODS_1_113,FOODS_1,FOODS,WI_2,WI,2016-03-21,d_1879,1879,16,0.98,6.0,8.089342857326084,6.854301,6.4963384568650735,6.387663117620307
Validation,FOODS_1_113_WI_2_validation,FOODS_1_113,FOODS_1,FOODS,WI_2,WI,2016-03-22,d_1880,1880,3,0.98,10.0,8.811648128714484,7.179459,6.707366206987798,6.811658721297002
Validation,FOODS_1_113_WI_2_validation,FOODS_1_113,FOODS_1,FOODS,WI_2,WI,2016-03-23,d_1881,1881,10,0.98,13.0,7.799179468278498,7.7436514,7.160492090702036,6.548510635137482
Validation,FOODS_1_113_WI_2_validation,FOODS_1_113,FOODS_1,FOODS,WI_2,WI,2016-03-24,d_1882,1882,20,0.98,5.0,7.438417988579657,6.3705025,6.544901536361217,5.792215178524637
Validation,FOODS_1_113_WI_2_validation,FOODS_1_113,FOODS_1,FOODS,WI_2,WI,2016-03-25,d_1883,1883,27,0.98,10.0,8.292548022184867,8.340863,7.678924315373828,7.71558564582142
Validation,FOODS_1_113_WI_2_validation,FOODS_1_113,FOODS_1,FOODS,WI_2,WI,2016-03-26,d_1884,1884,31,0.98,39.0,12.695238251009824,9.590502,11.151862650772651,9.69088958912956
Validation,FOODS_1_113_WI_2_validation,FOODS_1_113,FOODS_1,FOODS,WI_2,WI,2016-03-27,d_1885,1885,10,0.98,4.0,9.78909999963802,7.326793,8.254235190844492,7.182768454173412
Validation,FOODS_1_204_WI_2_validation,FOODS_1_204,FOODS_1,FOODS,WI_2,WI,2016-02-29,d_1858,1858,34,0.98,7.0,7.156682300309221,8.137754,7.864821832247966,6.567458513344356
Validation,FOODS_1_204_WI_2_validation,FOODS_1_204,FOODS_1,FOODS,WI_2,WI,2016-03-01,d_1859,1859,18,0.98,7.0,8.3935879999452,8.249594,8.455273124985297,6.9531607992480495
Validation,FOODS_1_204_WI_2_validation,FOODS_1_204,FOODS_1,FOODS,WI_2,WI,2016-03-02,d_1860,1860,23,0.98,2.0,8.974436267469462,9.296647,10.151060370522154,7.879057980271769
Validation,FOODS_1_204_WI_2_validation,FOODS_1_204,FOODS_1,FOODS,WI_2,WI,2016-03-03,d_1861,1861,25,0.98,0.0,6.792696232196346,8.286503,8.587130587822507,7.926596963570324
Validation,FOODS_1_204_WI_2_validation,FOODS_1_204,FOODS_1,FOODS,WI_2,WI,2016-03-04,d_1862,1862,6,0.98,0.0,6.983774384812587,7.6314187,7.7251787975401855,7.428137395279976
Validation,FOODS_1_204_WI_2_validation,FOODS_1_204,FOODS_1,FOODS,WI_2,WI,2016-03-05,d_1863,1863,18,0.98,6.0,8.949993775896647,11.093448,9.965754264098711,9.818753103078908
Validation,FOODS_1_204_WI_2_validation,FOODS_1_204,FOODS_1,FOODS,WI_2,WI,2016-03-06,d_1864,1864,31,0.98,4.0,9.66066162065212,9.840384,9.549075004336096,9.699683749778004
Validation,FOODS_1_204_WI_2_validation,FOODS_1_204,FOODS_1,FOODS,WI_2,WI,2016-03-07,d_1865,1865,21,0.98,2.0,7.817885343716453,6.9099994,7.271795381625739,7.541700826165408
Validation,FOODS_1_204_WI_2_validation,FOODS_1_204,FOODS_1,FOODS,WI_2,WI,2016-03-08,d_1866,1866,15,0.98,6.0,8.407760653896613,6.9769897,8.78946090859616,10.993819887420685
Validation,FOODS_1_204_WI_2_validation,FOODS_1_204,FOODS_1,FOODS,WI_2,WI,2016-03-09,d_1867,1867,18,0.98,4.0,7.844171240569546,7.9603324,8.084237914345163,10.118553354345208
