id,item_id,store_id,state_id,demand_group,date,d,policy,policy_label,forecast_col,lead_time,coverage_days,safety_multiplier,target_fill_rate,actual_demand,selected_forecast,sell_price,on_hand_inventory,on_order_inventory,inventory_position,reorder_point,target_inventory,order_quantity,order_flag,fulfilled_demand,lost_sales,stockout_flag,holding_cost,ordering_cost,stockout_cost,total_daily_cost,scenario
FOODS_1_001_CA_4_validation,FOODS_1_001,CA_4,CA,intermittent,2016-03-28,d_1886,fixed_rule,Fixed rule,,7,7,1.0,0.95,2.0,,2.24,9.0,0.0,9.0,7.337991796220102,10.837991796220102,0,0,2.0,0.0,0,0.2016,0.0,0.0,0.2016,base_case
FOODS_1_001_CA_4_validation,FOODS_1_001,CA_4,CA,intermittent,2016-03-29,d_1887,fixed_rule,Fixed rule,,7,7,1.0,0.95,0.0,,2.24,9.0,0.0,9.0,7.337991796220102,10.837991796220102,0,0,0.0,0.0,0,0.2016,0.0,0.0,0.2016,base_case
FOODS_1_001_CA_4_validation,FOODS_1_001,CA_4,CA,intermittent,2016-03-30,d_1888,fixed_rule,Fixed rule,,7,7,1.0,0.95,0.0,,2.24,9.0,0.0,9.0,7.337991796220102,10.837991796220102,0,0,0.0,0.0,0,0.2016,0.0,0.0,0.2016,base_case
FOODS_1_001_CA_4_validation,FOODS_1_001,CA_4,CA,intermittent,2016-03-31,d_1889,fixed_rule,Fixed rule,,7,7,1.0,0.95,0.0,,2.24,9.0,0.0,9.0,7.337991796220102,10.837991796220102,0,0,0.0,0.0,0,0.2016,0.0,0.0,0.2016,base_case
FOODS_1_001_CA_4_validation,FOODS_1_001,CA_4,CA,intermittent,2016-04-01,d_1890,fixed_rule,Fixed rule,,7,7,1.0,0.95,0.0,,2.24,9.0,0.0,9.0,7.337991796220102,10.837991796220102,0,0,0.0,0.0,0,0.2016,0.0,0.0,0.2016,base_case
FOODS_1_001_CA_4_validation,FOODS_1_001,CA_4,CA,intermittent,2016-04-02,d_1891,fixed_rule,Fixed rule,,7,7,1.0,0.95,0.0,,2.24,9.0,0.0,9.0,7.337991796220102,10.837991796220102,0,0,0.0,0.0,0,0.2016,0.0,0.0,0.2016,base_case
FOODS_1_001_CA_4_validation,FOODS_1_001,CA_4,CA,intermittent,2016-04-03,d_1892,fixed_rule,Fixed rule,,7,7,1.0,0.95,0.0,,2.24,9.0,0.0,9.0,7.337991796220102,10.837991796220102,0,0,0.0,0.0,0,0.2016,0.0,0.0,0.2016,base_case
FOODS_1_001_CA_4_validation,FOODS_1_001,CA_4,CA,intermittent,2016-04-04,d_1893,fixed_rule,Fixed rule,,7,7,1.0,0.95,1.0,,2.24,8.0,0.0,8.0,7.337991796220102,10.837991796220102,0,0,1.0,0.0,0,0.1792,0.0,0.0,0.1792,base_case
FOODS_1_001_CA_4_validation,FOODS_1_001,CA_4,CA,intermittent,2016-04-05,d_1894,fixed_rule,Fixed rule,,7,7,1.0,0.95,0.0,,2.24,8.0,0.0,8.0,7.337991796220102,10.837991796220102,0,0,0.0,0.0,0,0.1792,0.0,0.0,0.1792,base_case
FOODS_1_001_CA_4_validation,FOODS_1_001,CA_4,CA,intermittent,2016-04-06,d_1895,fixed_rule,Fixed rule,,7,7,1.0,0.95,1.0,,2.24,7.0,0.0,7.0,7.337991796220102,10.837991796220102,4,1,1.0,0.0,0,0.1568,5.0,0.0,5.1568,base_case
FOODS_1_001_CA_4_validation,FOODS_1_001,CA_4,CA,intermittent,2016-04-07,d_1896,fixed_rule,Fixed rule,,7,7,1.0,0.95,0.0,,2.24,7.0,4.0,11.0,7.337991796220102,10.837991796220102,0,0,0.0,0.0,0,0.1568,0.0,0.0,0.1568,base_case
FOODS_1_001_CA_4_validation,FOODS_1_001,CA_4,CA,intermittent,2016-04-08,d_1897,fixed_rule,Fixed rule,,7,7,1.0,0.95,0.0,,2.24,7.0,4.0,11.0,7.337991796220102,10.837991796220102,0,0,0.0,0.0,0,0.1568,0.0,0.0,0.1568,base_case
FOODS_1_001_CA_4_validation,FOODS_1_001,CA_4,CA,intermittent,2016-04-09,d_1898,fixed_rule,Fixed rule,,7,7,1.0,0.95,0.0,,2.24,7.0,4.0,11.0,7.337991796220102,10.837991796220102,0,0,0.0,0.0,0,0.1568,0.0,0.0,0.1568,base_case
FOODS_1_001_CA_4_validation,FOODS_1_001,CA_4,CA,intermittent,2016-04-10,d_1899,fixed_rule,Fixed rule,,7,7,1.0,0.95,0.0,,2.24,7.0,4.0,11.0,7.337991796220102,10.837991796220102,0,0,0.0,0.0,0,0.1568,0.0,0.0,0.1568,base_case
FOODS_1_001_CA_4_validation,FOODS_1_001,CA_4,CA,intermittent,2016-04-11,d_1900,fixed_rule,Fixed rule,,7,7,1.0,0.95,0.0,,2.24,7.0,4.0,11.0,7.337991796220102,10.837991796220102,0,0,0.0,0.0,0,0.1568,0.0,0.0,0.1568,base_case
FOODS_1_001_CA_4_validation,FOODS_1_001,CA_4,CA,intermittent,2016-04-12,d_1901,fixed_rule,Fixed rule,,7,7,1.0,0.95,0.0,,2.24,7.0,4.0,11.0,7.337991796220102,10.837991796220102,0,0,0.0,0.0,0,0.1568,0.0,0.0,0.1568,base_case
FOODS_1_001_CA_4_validation,FOODS_1_001,CA_4,CA,intermittent,2016-04-13,d_1902,fixed_rule,Fixed rule,,7,7,1.0,0.95,0.0,,2.24,11.0,0.0,11.0,7.337991796220102,10.837991796220102,0,0,0.0,0.0,0,0.2464,0.0,0.0,0.2464,base_case
